source_country,dest_country,num_routes
Belgium,Croatia,4
Belgium,Cyprus,2
Belgium,Czech Republic,1
Belgium,Denmark,2
Belgium,Egypt,1
Belgium,Estonia,1
Belgium,Finland,1
Belgium,France,25
Belgium,Germany,7
Belgium,Greece,16
Belgium,Hungary,2
Belgium,Iceland,1
Belgium,India,2
Belgium,Ireland,3
Belgium,Israel,1
Belgium,Italy,29
Belgium,Latvia,1
Belgium,Lebanon,1
Belgium,Lithuania,2
Belgium,Macedonia,1
Belgium,Malta,1
Belgium,Montenegro,2
Belgium,Morocco,14
Belgium,Netherlands,1
Belgium,Norway,2
Belgium,Poland,6
Belgium,Portugal,6
Belgium,Qatar,1
Belgium,Romania,3
Belgium,Russia,2
Belgium,Rwanda,1
Belgium,Senegal,1
Belgium,Serbia,2
Belgium,Sierra Leone,1
Belgium,Slovakia,1
Belgium,Slovenia,2
Belgium,Spain,31
Belgium,Sweden,4
Belgium,Switzerland,2
Belgium,Thailand,1
Belgium,Tunisia,4
Belgium,Turkey,6
Belgium,Ukraine,1
Belgium,United Arab Emirates,1
Belgium,United Kingdom,11
Belgium,United States,6
Belize,El Salvador,1
Belize,Guatemala,1
Belize,Honduras,2
Belize,Mexico,2
Belize,United States,7
Benin,Burkina Faso,1
Benin,Cameroon,1
Benin,Congo (Brazzaville),2
Benin,Cote d'Ivoire,1
Benin,Equatorial Guinea,1
Benin,Ethiopia,1
Benin,France,1
Benin,Gabon,1
Benin,Ghana,1
Benin,Kenya,1
Benin,Mali,1
Benin,Niger,1
Benin,Nigeria,2
Benin,Senegal,1
Benin,Togo,1
Bermuda,Canada,1
Bermuda,United Kingdom,1
Bermuda,United States,6
Bhutan,Bangladesh,1
Bhutan,India,3
Bhutan,Nepal,1
Bolivia,Argentina,1
Bolivia,Brazil,1
Bolivia,Chile,2
Bolivia,Colombia,1
Bolivia,Panama,1
Bolivia,Paraguay,1
Bolivia,Peru,2
Bolivia,Spain,1
Bolivia,United States,1
Bosnia and Herzegovina,Austria,1
Bosnia and Herzegovina,Croatia,1
Bosnia and Herzegovina,Denmark,1
Bosnia and Herzegovina,Germany,4
Bosnia and Herzegovina,Serbia,2
Bosnia and Herzegovina,Slovenia,1
Bosnia and Herzegovina,Sweden,3
Bosnia and Herzegovina,Switzerland,1
Bosnia and Herzegovina,Turkey,2
Botswana,Kenya,1
Botswana,Namibia,1
Botswana,South Africa,5
Botswana,Zambia,1
Botswana,Zimbabwe,2
Brazil,Angola,2
Brazil,Argentina,15
Brazil,Barbados,1
Brazil,Bolivia,1
Brazil,Canada,1
Brazil,Cape Verde,1
Brazil,Chile,3
Brazil,Colombia,2
Brazil,Dominican Republic,2
Brazil,Ecuador,1
Brazil,France,3
Brazil,French Guiana,1
Brazil,Germany,5
Brazil,Italy,4
Brazil,Mexico,1
Brazil,Morocco,1
Brazil,Netherlands,2
Brazil,Panama,7
Brazil,Paraguay,2
Brazil,Peru,4
Brazil,Portugal,10
Brazil,Qatar,1
Brazil,South Africa,1
Brazil,Spain,4
Brazil,Suriname,1
Brazil,Switzerland,1
Brazil,Togo,1
Brazil,Turkey,1
Brazil,United Arab Emirates,3
Brazil,United Kingdom,2
Brazil,United States,26
Brazil,Uruguay,4
Brazil,Venezuela,2
British Virgin Islands,Dominica,1
British Virgin Islands,Netherlands Antilles,1
British Virgin Islands,Puerto Rico,2
British Virgin Islands,Saint Kitts and Nevis,1
British Virgin Islands,Virgin Islands,2
Brunei,Australia,1
Brunei,China,1
Brunei,Hong Kong,1
Brunei,Indonesia,2
Brunei,Malaysia,3
Brunei,Philippines,1
Brunei,Saudi Arabia,1
Brunei,Singapore,1
Brunei,Thailand,1
Brunei,United Arab Emirates,1
Bulgaria,Austria,2
Bulgaria,Belgium,4
Bulgaria,Cyprus,2
Bulgaria,Czech Republic,1
Bulgaria,Denmark,1
Bulgaria,Finland,1
Bulgaria,France,2
Bulgaria,Germany,7
Bulgaria,Greece,1
Bulgaria,Ireland,1
Bulgaria,Israel,1
Bulgaria,Italy,4
Bulgaria,Luxembourg,1
Bulgaria,Netherlands,2
Bulgaria,Norway,1
Bulgaria,Poland,1
Bulgaria,Romania,1
Bulgaria,Russia,6
Bulgaria,Serbia,2
Bulgaria,Spain,5
Bulgaria,Switzerland,1
Bulgaria,Turkey,1
Bulgaria,United Arab Emirates,1
Bulgaria,United Kingdom,8
Burkina Faso,Algeria,1
Burkina Faso,Belgium,1
Burkina Faso,Benin,1
Burkina Faso,Cote d'Ivoire,1
Burkina Faso,Ethiopia,1
Burkina Faso,France,1
Burkina Faso,Ghana,1
Burkina Faso,Mali,1
Burkina Faso,Morocco,1
Burkina Faso,Niger,1
Burkina Faso,Senegal,1
Burkina Faso,Togo,1
Burkina Faso,Tunisia,1
Burkina Faso,Turkey,1
Burma,Bangladesh,1
Burma,Cambodia,1
Burma,China,6
Burma,Hong Kong,1
Burma,India,1
Burma,Japan,1
Burma,Malaysia,1
Burma,Qatar,1
Burma,Singapore,1
Burma,South Korea,1
Burma,Taiwan,1
Burma,Thailand,6
Burma,Vietnam,2
Burundi,Kenya,1
Burundi,Rwanda,1
Burundi,Uganda,1
Cambodia,Burma,1
Cambodia,China,7
Cambodia,Hong Kong,2
Cambodia,Laos,3
Cambodia,Malaysia,2
Cambodia,Philippines,1
Cambodia,Singapore,2
Cambodia,South Korea,3
Cambodia,Taiwan,2
Cambodia,Thailand,4
Cambodia,Vietnam,5
Cameroon,Belgium,2
Cameroon,Benin,1
Cameroon,Central African Republic,1
Cameroon,Chad,1
Cameroon,Congo (Brazzaville),2
Cameroon,Congo (Kinshasa),1
Cameroon,Cote d'Ivoire,1
Cameroon,Equatorial Guinea,1
Cameroon,Ethiopia,1
Cameroon,France,2
Cameroon,Gabon,2
Cameroon,Kenya,2
Cameroon,Morocco,2
Cameroon,Nigeria,1
Cameroon,Senegal,1
Cameroon,Togo,1
Cameroon,Turkey,1
Canada,Algeria,1
Canada,Antigua and Barbuda,1
Canada,Aruba,1
Canada,Australia,1
Canada,Austria,1
Canada,Bahamas,3
Canada,Barbados,1
Canada,Belgium,2
Canada,Bermuda,1
Canada,Brazil,1
Canada,Cayman Islands,1
Canada,Chile,1
Canada,China,6
Canada,Colombia,1
Canada,Costa Rica,2
Canada,Cuba,12
Canada,Denmark,1
Canada,Dominican Republic,8
Canada,Egypt,1
Canada,El Salvador,1
Canada,Ethiopia,1
Canada,France,9
Canada,Germany,9
Canada,Greece,2
Canada,Grenada,1
Canada,Guadeloupe,1
Canada,Guyana,1
Canada,Haiti,1
Canada,Hong Kong,2
Canada,Iceland,2
Canada,Ireland,1
Canada,Israel,1
Canada,Italy,4
Canada,Jamaica,4
Canada,Japan,4
Canada,Jordan,1
Canada,Martinique,1
Canada,Mexico,16
Canada,Morocco,1
Canada,Netherlands,4
Canada,Netherlands Antilles,1
Canada,New Zealand,1
Canada,Pakistan,3
Canada,Panama,1
Canada,Peru,1
Canada,Philippines,1
Canada,Poland,1
Canada,Portugal,4
Canada,Puerto Rico,1
Canada,Qatar,1
Canada,Russia,2
Canada,Saint Lucia,1
Canada,Saint Pierre and Miquelon,3
Canada,Saudi Arabia,1
Canada,South Korea,2
Canada,Spain,3
Canada,Switzerland,3
Canada,Taiwan,2
Canada,Trinidad and Tobago,1
Canada,Tunisia,1
Canada,Turkey,1
Canada,Turks and Caicos Islands,1
Canada,United Arab Emirates,2
Canada,United Kingdom,17
Canada,United States,156
Cape Verde,Brazil,1
Cape Verde,France,2
Cape Verde,Gambia,1
Cape Verde,Germany,5
Cape Verde,Guinea-Bissau,1
Cape Verde,Luxembourg,1
Cape Verde,Morocco,1
Cape Verde,Netherlands,1
Cape Verde,Portugal,4
Cape Verde,Sao Tome and Principe,1
Cape Verde,Senegal,1
Cape Verde,Spain,1
Cape Verde,United Kingdom,5
Cape Verde,United States,1
Cayman Islands,Bahamas,1
Cayman Islands,Canada,1
Cayman Islands,Cuba,1
Cayman Islands,Honduras,1
Cayman Islands,Jamaica,1
Cayman Islands,United States,11
Central African Republic,Cameroon,2
Central African Republic,Morocco,1
Chad,Cameroon,2
Chad,Ethiopia,1
Chad,France,1
Chad,Niger,1
Chad,Nigeria,2
Chad,Turkey,1
Chile,Argentina,3
Chile,Australia,1
Chile,Bolivia,2
Chile,Brazil,3
Chile,Canada,1
Chile,Colombia,1
Chile,Dominican Republic,1
Chile,Ecuador,2
Chile,France,1
Chile,Mexico,2
Chile,New Zealand,1
Chile,Panama,1
Chile,Paraguay,1
Chile,Peru,1
Chile,Spain,1
Chile,United States,4
Chile,Uruguay,1
Chile,Venezuela,1
China,Algeria,1
China,Angola,1
China,Australia,10
China,Austria,1
China,Azerbaijan,2
China,Bangladesh,2
China,Belgium,1
China,Brunei,1
China,Burma,6
China,Cambodia,7
China,Canada,6
China,Denmark,2
China,Egypt,2
China,Ethiopia,3
China,Finland,4
China,France,4
China,Georgia,1
China,Germany,9
China,Hong Kong,39
China,India,5
China,Indonesia,8
China,Iran,4
China,Israel,1
China,Italy,4
China,Japan,54
China,Kazakhstan,4
China,Kenya,1
China,Kyrgyzstan,2
China,Laos,3
China,Macau,19
China,Malaysia,16
China,Maldives,3
China,Mauritius,2
China,Mexico,1
China,Mongolia,3
China,Nepal,3
China,Netherlands,6
China,New Zealand,2
China,North Korea,2
China,Northern Mariana Islands,3
China,Pakistan,3
China,Philippines,4
China,Poland,1
China,Qatar,6
China,Russia,28
China,Saudi Arabia,2
China,Singapore,22
China,South Africa,1
China,South Korea,64
China,Spain,1
China,Sri Lanka,3
China,Sweden,1
China,Switzerland,3
China,Taiwan,92
China,Tajikistan,2
China,Thailand,44
China,Turkey,4
China,Turkmenistan,1
China,United Arab Emirates,7
China,United Kingdom,5
China,United States,19
China,Uzbekistan,2
China,Vietnam,17
Christmas Island,Australia,1
Colombia,Argentina,1
Colombia,Aruba,1
Colombia,Bolivia,1
Colombia,Brazil,2
Colombia,Canada,1
Colombia,Chile,1
Colombia,Costa Rica,1
Colombia,Cuba,1
Colombia,Dominican Republic,2
Colombia,Ecuador,5
Colombia,El Salvador,3
Colombia,France,1
Colombia,Germany,1
Colombia,Guatemala,1
Colombia,Mexico,2
Colombia,Netherlands Antilles,2
Colombia,Panama,5
Colombia,Peru,3
Colombia,Puerto Rico,1
Colombia,Spain,4
Colombia,United States,17
Colombia,Venezuela,2
Comoros,Djibouti,1
Comoros,Kenya,2
Comoros,Madagascar,1
Comoros,Mayotte,1
Comoros,Reunion,1
Comoros,Tanzania,1
Congo (Brazzaville),Angola,1
Congo (Brazzaville),Benin,2
Congo (Brazzaville),Cameroon,2
Congo (Brazzaville),Congo (Kinshasa),1
Congo (Brazzaville),Ethiopia,2
Congo (Brazzaville),France,2
Congo (Brazzaville),Gabon,2
Congo (Brazzaville),Kenya,1
Congo (Brazzaville),Morocco,2
Congo (Brazzaville),Rwanda,1
Congo (Brazzaville),South Africa,2
Congo (Kinshasa),Belgium,1
Congo (Kinshasa),Cameroon,1
Congo (Kinshasa),Congo (Brazzaville),1
Congo (Kinshasa),France,1
Congo (Kinshasa),Gabon,1
Congo (Kinshasa),Kenya,2
Congo (Kinshasa),South Africa,2
Congo (Kinshasa),Turkey,1
Congo (Kinshasa),Zambia,1
Cook Islands,Australia,1
Cook Islands,French Polynesia,1
Cook Islands,New Zealand,1
Cook Islands,United States,1
Costa Rica,Canada,2
Costa Rica,Colombia,1
Costa Rica,Dominican Republic,1
Costa Rica,El Salvador,2
Costa Rica,Guatemala,1
Costa Rica,Honduras,2
Costa Rica,Mexico,1
Costa Rica,Nicaragua,1
Costa Rica,Panama,2
Costa Rica,Peru,1
Costa Rica,Spain,1
Costa Rica,United States,22
Cote d'Ivoire,Algeria,1
Cote d'Ivoire,Belgium,1
Cote d'Ivoire,Benin,1
Cote d'Ivoire,Burkina Faso,1
Cote d'Ivoire,Cameroon,1
Cote d'Ivoire,France,2
Cote d'Ivoire,Gabon,1
Cote d'Ivoire,Ghana,1
Cote d'Ivoire,Guinea,1
Cote d'Ivoire,Kenya,1
Cote d'Ivoire,Liberia,1
Cote d'Ivoire,Mali,1
Cote d'Ivoire,Morocco,1
Cote d'Ivoire,Nigeria,1
Cote d'Ivoire,Senegal,1
Cote d'Ivoire,Sierra Leone,1
Cote d'Ivoire,Togo,1
Cote d'Ivoire,Tunisia,1
Cote d'Ivoire,Turkey,1
Croatia,Austria,3
Croatia,Belgium,4
Croatia,Bosnia and Herzegovina,1
Croatia,Czech Republic,1
Croatia,Denmark,3
Croatia,Estonia,1
Croatia,Finland,2
Croatia,France,11
Croatia,Germany,39
Croatia,Greece,2
Croatia,Hungary,1
Croatia,Ireland,3
Croatia,Italy,4
Croatia,Luxembourg,1
Croatia,Macedonia,1
Croatia,Netherlands,3
Croatia,Norway,9
Croatia,Poland,3
Croatia,Russia,2
Croatia,Serbia,2
Croatia,Spain,2
Croatia,Sweden,7
Croatia,Switzerland,5
Croatia,Turkey,1
Croatia,United Kingdom,20
Cuba,Angola,1
Cuba,Argentina,1
Cuba,Bahamas,1
Cuba,Canada,16
Cuba,Cayman Islands,1
Cuba,Colombia,1
Cuba,Dominican Republic,2
Cuba,Ecuador,1
Cuba,El Salvador,1
Cuba,France,2
Cuba,Germany,4
Cuba,Italy,3
Cuba,Jamaica,1
Cuba,Martinique,1
Cuba,Mexico,4
Cuba,Netherlands,1
Cuba,Panama,1
Cuba,Peru,1
Cuba,Russia,2
Cuba,Spain,1
Cuba,Switzerland,1
Cuba,United Kingdom,2
Cuba,Venezuela,2
Cyprus,Austria,1
Cyprus,Bahrain,1
Cyprus,Belarus,1
Cyprus,Belgium,2
Cyprus,Bulgaria,2
Cyprus,Egypt,1
Cyprus,France,2
Cyprus,Germany,5
Cyprus,Greece,7
Cyprus,Hungary,1
Cyprus,Israel,1
Cyprus,Italy,1
Cyprus,Jordan,1
Cyprus,Latvia,1
Cyprus,Lebanon,1
Cyprus,Lithuania,1
Cyprus,Malta,1
Cyprus,Moldova,1
Cyprus,Netherlands,2
Cyprus,Norway,1
Cyprus,Poland,2
Cyprus,Qatar,1
Cyprus,Romania,1
Cyprus,Russia,8
Cyprus,Serbia,1
Cyprus,Sweden,2
Cyprus,Switzerland,1
Cyprus,Turkey,7
Cyprus,Ukraine,5
Cyprus,United Arab Emirates,2
Cyprus,United Kingdom,21
Czech Republic,Armenia,1
Czech Republic,Austria,1
Czech Republic,Azerbaijan,1
Czech Republic,Belarus,1
Czech Republic,Belgium,1
Czech Republic,Bulgaria,1
Czech Republic,Croatia,1
Czech Republic,Denmark,1
Czech Republic,Finland,1
Czech Republic,France,9
Czech Republic,Germany,6
Czech Republic,Greece,3
Czech Republic,Hungary,1
Czech Republic,Ireland,1
Czech Republic,Israel,1
Czech Republic,Italy,9
Czech Republic,Kazakhstan,1
Czech Republic,Latvia,1
Czech Republic,Lithuania,1
Czech Republic,Malta,1
Czech Republic,Netherlands,2
Czech Republic,Norway,2
Czech Republic,Poland,1
Czech Republic,Portugal,2
Czech Republic,Romania,2
Czech Republic,Russia,17
Czech Republic,Serbia,1
Czech Republic,Slovakia,2
Czech Republic,Slovenia,1
Czech Republic,South Korea,1
Czech Republic,Spain,7
Czech Republic,Sweden,1
Czech Republic,Switzerland,2
Czech Republic,Turkey,2
Czech Republic,Ukraine,1
Czech Republic,United Arab Emirates,1
Czech Republic,United Kingdom,11
Czech Republic,Uzbekistan,1
Denmark,Austria,1
Denmark,Belgium,2
Denmark,Bosnia and Herzegovina,1
Denmark,Bulgaria,1
Denmark,Canada,1
Denmark,China,2
Denmark,Croatia,3
Denmark,Czech Republic,1
Denmark,Egypt,1
Denmark,Estonia,1
Denmark,Faroe Islands,2
Denmark,Finland,2
Denmark,France,7
Denmark,Germany,12
Denmark,Greece,5
Denmark,Hungary,2
Denmark,Iceland,2
Denmark,Ireland,1
Denmark,Israel,1
Denmark,Italy,13
Denmark,Japan,1
Denmark,Latvia,2
Denmark,Lithuania,2
Denmark,Luxembourg,1
Denmark,Malta,2
Denmark,Morocco,2
Denmark,Netherlands,4
Denmark,Norway,15
Denmark,Pakistan,1
Denmark,Poland,5
Denmark,Portugal,3
Denmark,Qatar,1
Denmark,Romania,1
Denmark,Russia,2
Denmark,Serbia,2
Denmark,Singapore,1
Denmark,Slovenia,1
Denmark,Spain,17
Denmark,Sweden,7
Denmark,Switzerland,3
Denmark,Thailand,1
Denmark,Turkey,8
Denmark,United Arab Emirates,1
Denmark,United Kingdom,15
Denmark,United States,7
Djibouti,Comoros,1
Djibouti,Ethiopia,1
Djibouti,France,1
Djibouti,Kenya,1
Djibouti,Saudi Arabia,1
Djibouti,Somalia,2
Djibouti,Turkey,1
Djibouti,United Arab Emirates,1
Djibouti,Yemen,2
Dominica,Antigua and Barbuda,1
Dominica,Barbados,1
Dominica,British Virgin Islands,1
Dominica,Guadeloupe,1
Dominica,Netherlands Antilles,1
Dominica,Puerto Rico,1
Dominica,Saint Vincent and the Grenadines,1
Dominica,Virgin Islands,1
Dominican Republic,Antigua and Barbuda,3
Dominican Republic,Argentina,1
Dominican Republic,Aruba,2
Dominican Republic,Brazil,2
Dominican Republic,Canada,9
Dominican Republic,Chile,1
Dominican Republic,Colombia,2
Dominican Republic,Costa Rica,1
Dominican Republic,Cuba,2
Dominican Republic,France,7
Dominican Republic,Germany,6
Dominican Republic,Guadeloupe,1
Dominican Republic,Haiti,1
Dominican Republic,Italy,2
Dominican Republic,Jamaica,2
Dominican Republic,Netherlands,1
Dominican Republic,Netherlands Antilles,2
Dominican Republic,Panama,3
Dominican Republic,Peru,2
Dominican Republic,Puerto Rico,6
Dominican Republic,Russia,3
Dominican Republic,Spain,3
Dominican Republic,Switzerland,1
Dominican Republic,Turks and Caicos Islands,3
Dominican Republic,United Kingdom,1
Dominican Republic,United States,37
Dominican Republic,Venezuela,1
East Timor,Australia,1
East Timor,Indonesia,1
East Timor,Singapore,1
Ecuador,Argentina,1
Ecuador,Brazil,1
Ecuador,Chile,1
Ecuador,Colombia,5
Ecuador,Cuba,1
Ecuador,El Salvador,2
Ecuador,Mexico,1
Ecuador,Netherlands,1
Ecuador,Panama,2
Ecuador,Peru,2
Ecuador,Spain,2
Ecuador,United States,5
Ecuador,Venezuela,1
Egypt,Algeria,1
Egypt,Austria,4
Egypt,Bahrain,1
Egypt,Belgium,1
Egypt,Canada,1
Egypt,China,2
Egypt,Cyprus,1
Egypt,Denmark,1
Egypt,Eritrea,1
Egypt,Ethiopia,1
Egypt,France,3
Egypt,Germany,13
Egypt,Ghana,1
Egypt,Greece,2
Egypt,Hungary,1
Egypt,India,1
Egypt,Indonesia,1
Egypt,Iraq,2
Egypt,Israel,1
Egypt,Italy,3
Egypt,Jordan,3
Egypt,Kenya,1
Egypt,Kuwait,6
Egypt,Lebanon,2
Egypt,Libya,5
Egypt,Morocco,1
Egypt,Netherlands,1
Egypt,Nigeria,3
Egypt,Oman,1
